4.579293631363209998e-21,3.343373106510913412e-21,8.593974776684930403e-21,3.343373106510913412e-21,7.494092141737115704e-21,3.381386257508000164e-21,8.593974776684930403e-21,3.381386257508000164e-21,7.346624024596635275e-21
4.576035480083852821e-21,3.340802268969567385e-21,8.587466747058512744e-21,3.340802268969567385e-21,7.488583644995444014e-21,3.378626552745868018e-21,8.587466747058512744e-21,3.378626552745868018e-21,7.341168215758345160e-21
4.570020131438779740e-21,3.336473233717777438e-21,8.576508521449821200e-21,3.336473233717777438e-21,7.478774131807504907e-21,3.374647257533701961e-21,8.576508521449821200e-21,3.374647257533701961e-21,7.331762413155896032e-21
4.561590085641880072e-21,3.329821726800667159e-21,8.560004598877435258e-21,3.329821726800667159e-21,7.464513670142775421e-21,3.368192537195131234e-21,8.560004598877435258e-21,3.368192537195131234e-21,7.317913406462769851e-21
4.548047071477083706e-21,3.320109249956787925e-21,8.534858386576232303e-21,3.320109249956787925e-21,7.442498660171002995e-21,3.358037274506604295e-21,8.534858386576232303e-21,3.358037274506604295e-21,7.296179405855863706e-21
4.527873633508739119e-21,3.306013164612855819e-21,8.497823540098129981e-21,3.306013164612855819e-21,7.410124411240843396e-21,3.343599929917523173e-21,8.497823540098129981e-21,3.343599929917523173e-21,7.264355758597118517e-21
4.497150552409005009e-21,3.283762433601780440e-21,8.440046974633259332e-21,3.283762433601780440e-21,7.359988394076346763e-21,3.320552228069936828e-21,8.440046974633259332e-21,3.320552228069936828e-21,7.214990592323718973e-21
4.451230294871550375e-21,3.249906337959973473e-21,8.353654105225308843e-21,3.249906337959973473e-21,7.284537500436895996e-21,3.286558560554223069e-21,8.353654105225308843e-21,3.286558560554223069e-21,7.141112476753608749e-21
4.381737386731047426e-21,3.199512279636775575e-21,8.223755705714342566e-21,3.199512279636775575e-21,7.171114988126200291e-21,3.235638454066362421e-21,8.223755705714342566e-21,3.235638454066362421e-21,7.029944628645633419e-21
4.278745022879205245e-21,3.123801836263715883e-21,8.029640085232687296e-21,3.123801836263715883e-21,7.002066427964974449e-21,3.159209489754719487e-21,8.029640085232687296e-21,3.159209489754719487e-21,6.864329809987509761e-21
4.124719615537964277e-21,3.011855574853853986e-21,7.741665828989326702e-21,3.011855574853853986e-21,6.750492006682362023e-21,3.045989575112815340e-21,7.741665828989326702e-21,3.045989575112815340e-21,6.617744427457203349e-21
3.898457307823292557e-21,2.846459399630316871e-21,7.316375768655021840e-21,2.846459399630316871e-21,6.380032993320676965e-21,2.878212556521579865e-21,7.316375768655021840e-21,2.878212556521579865e-21,6.254386504254974526e-21
3.568260076327370781e-21,2.605606153815452759e-21,6.697205758798394023e-21,2.605606153815452759e-21,5.839869946893519485e-21,2.634921428166088126e-21,6.697205758798394023e-21,2.634921428166088126e-21,5.725044835899638448e-21
3.099486352639915972e-21,2.263222555745778731e-21,5.816888601807093151e-21,2.263222555745778731e-21,5.072637778022563458e-21,2.288263429024531426e-21,5.816888601807093151e-21,2.288263429024531426e-21,4.972781561758569356e-21
2.455918948848701636e-21,1.793328455978977880e-21,4.609329873386851756e-21,1.793328455978977880e-21,4.019371505842936678e-21,1.813292640577283225e-21,4.609329873386851756e-21,1.813292640577283225e-21,3.940478296901711010e-21
1.631918132767171409e-21,1.191600815886482932e-21,3.062403632746480997e-21,1.191600815886482932e-21,2.670785575856905202e-21,1.204618263614933121e-21,3.062403632746480997e-21,1.204618263614933121e-21,2.618493751222455777e-21
7.142355161367720866e-22,5.218749044757538783e-22,1.340434849450754805e-21,5.218749044757538783e-22,1.169291604850281692e-21,5.271258492996406940e-22,1.340434849450754805e-21,5.271258492996406940e-22,1.146462604650098837e-21
4.248514346452681376e-23,3.125518654910264296e-23,7.895828598464541482e-23,3.125518654910264296e-23,6.987279740796999547e-23,3.084541445157385972e-23,7.895828598464541482e-23,3.084541445157385972e-23,6.837858920422325712e-23
5.449780696364674916e-22,3.957012282754115764e-22,1.018618582235735718e-21,3.957012282754115764e-22,8.900286729283531357e-22,4.020127667008204249e-22,1.018618582235735718e-21,4.020127667008204249e-22,8.726514340826718278e-22
4.385242640473622770e-21,3.193074413902203594e-21,8.216653316924913539e-21,3.193074413902203594e-21,7.168818270961457405e-21,3.237171138321876820e-21,8.216653316924913539e-21,3.237171138321876820e-21,7.028102661702472392e-21
1.598158436742876210e-20,1.164964146968019997e-20,2.996466839159875515e-20,1.164964146968019997e-20,2.613759223850853139e-20,1.179981445442221847e-20,2.996466839159875515e-20,1.179981445442221847e-20,2.562232174160457775e-20
4.288824992901145440e-20,3.127110264763785927e-20,8.042881584456823436e-20,3.127110264763785927e-20,7.014969465017084837e-20,3.166832141988157257e-20,8.042881584456823436e-20,3.166832141988157257e-20,6.876770882453927086e-20
9.387636318830795649e-20,6.845945547856940430e-20,1.760675346142773628e-19,6.845945547856940430e-20,1.535576777879423321e-19,6.931923094844756661e-20,1.760675346142773628e-19,6.931923094844756661e-20,1.505332025779240287e-19
1.663936911793291734e-19,1.213639196337434204e-19,3.121080490977646722e-19,1.213639196337434204e-19,2.721965165069477202e-19,1.228679512596400069e-19,3.121080490977646722e-19,1.228679512596400069e-19,2.668347732533408033e-19
2.126842998646825078e-19,1.551723037073916787e-19,3.990050511684221532e-19,1.551723037073916787e-19,3.479626492052122883e-19,1.570553750948695894e-19,3.990050511684221532e-19,1.570553750948695894e-19,3.411071647257310888e-19
